domicilio,servicios-con-los-que-cuenta,capacidad-de-familias,capacidad-de-personas,nombre-del-municipio,region,entidad,nombre-del-enlace-regional,uso-del-inmueble,nombre-de-la-localidad,coordenada-y,nombre-del-inmueble,coordenada-x
ART. TERCERO,"AGUA, LUZ, SANITARIOS",100.0,400.0,IXCATEPEC,SIERRA DE OTONTEPEC,VERACRUZ DE IGNACIO DE LA LLAVE,JUAN ROSAS BARRIOS,ESCUELA,IXCATEPEC,0.0,SE GENERAL IXCATEPEC,0.0
CHAPULTEPEC,"AGUA, LUZ, SANITARIOS",75.0,300.0,IXCATEPEC,SIERRA DE OTONTEPEC,VERACRUZ DE IGNACIO DE LA LLAVE,JUAN ROSAS BARRIOS,ESCUELA,IXCATEPEC,21.236944,ESCUELA ALFONSO ARROYO FLORES,-98.006944
16 DE SEPTIEMBRE,"AGUA, LUZ, SANITARIOS",100.0,400.0,IXCATEPEC,SIERRA DE OTONTEPEC,VERACRUZ DE IGNACIO DE LA LLAVE,JUAN ROSAS BARRIOS,ESCUELA,IXCATEPEC,0.0,ESCUELA ENCARNACION OLIVARES,0.0
GUADALUPE VICTORIA,"AGUA, LUZ, SANITARIOS",88.0,350.0,IXCATEPEC,SIERRA DE OTONTEPEC,VERACRUZ DE IGNACIO DE LA LLAVE,JUAN ROSAS BARRIOS,SALON,IXCATEPEC,0.0,AUDITORIO MUNICIPAL,0.0
"VAINILLAS, VER.","AGUA, LUZ, BAÑOS",50.0,150.0,ALTO LUCERO DE GUTIERREZ BARRIOS,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,IGLESIA CATOLICA,VAINILLA,19.77802,VAINILLAS,-96.456485139
"TOPILITO DE ZARAGOZA, VER","AGUA, LUZ, BAÑOS",50.0,150.0,ALTO LUCERO DE GUTIERREZ BARRIOS,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,IGLESIA CATOLICA,TOPILITO DE ZARAGOZA,19.753741,TOPILITO,-96.55345
"LA PALMILLA, VER.","AGUA, LUZ, BAÑOS",50.0,150.0,ALTO LUCERO DE GUTIERREZ BARRIOS,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,IGLESIA CATOLICA,LA PALMILLA,19.771336,LA PALMILLA,-96.620978
"EL PEDREGAL, VER.","AGUA, LUZ, BAÑOS",50.0,150.0,ALTO LUCERO DE GUTIERREZ BARRIOS,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,IGLESIA CATOLICA,PEDREGAL,19.76416,EL PEDREGAL,-96.6283
"LA DEFENSA, VER.","AGUA, LUZ, BAÑOS",50.0,150.0,ALTO LUCERO DE GUTIERREZ BARRIOS,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,IGLESIA CATOLICA,LA DEFENSA,19.88425,LA DEFENSA,-96.50849
"POTRERO ALTO, VER.","AGUA, LUZ, BAÑOS",50.0,150.0,ALTO LUCERO DE GUTIERREZ BARRIOS,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,IGLESIA CATOLICA,POTRERO ALTO,19.77468,POTRERO ALTO,-96.458553125
CARRETERA FEDERAL,SIN DATO,5.0,20.0,ALTO LUCERO DE GUTIERREZ BARRIOS,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,PISTA- HELIPUERTO,BOCA DE LOMA,19.7842,PISTA BOCA DE LOMA,-96.4277
CARRETERA FEDERAL,SIN DATO,5.0,20.0,ALTO LUCERO DE GUTIERREZ BARRIOS,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,HELIPUERTO,SANTANDER,19.896933,HELIPUERTO SANTARDER,-96.5085
NICOLAS BRAVO ESQUINA ROCKEFELLER,"AGUA, LUZ, TELEFONO, BAÑO",25.0,250.0,ALVARADO,VERACRUZ - LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,ALVARADO,18.773989895,SALON SOCIAL,-95.7614460753
CALLE PINO SUAREZ ESQUINA JUAREZ COLONIA CENTRO,"AGUA, LUZ, TELEFONO, BAÑO",20.0,100.0,ALVARADO,VERACRUZ - LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,ALVARADO,18.7683185518,ESCUELA PRIMARIA DOLORES MARIA MOJICA,-95.7563432925
CALLE NICOLAS BRAVO NUMERO 61 CASI ESQUINA GUERRERO,"AGUA, LUZ, TELEFONO, BAÑO",30.0,130.0,ALVARADO,VERACRUZ - LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,ALVARADO,18.7703058473,ESCUELA PRIMARIA BENITO JUAREZ,-95.7606937415
MELCHOR OCAMPO ESQUINA NETZAHUALCOYOTL,"AGUA, LUZ, TELEFONO, BAÑO",60.0,250.0,ALVARADO,VERACRUZ - LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,ALVARADO,18.772515528,MTRO. JOSERUIZ PARRA,-95.7592123188
CONSTITUYENTES SIN NUMERO ESQUINA 29 DE JUNIO EJIDO LAS COLONIAS.,"AGUA, LUZ, TELEFONO, BAÑO",6.0,25.0,BOCA DEL RIO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,BOCA DEL RIO,19.1166084555,J. DE N. CRISTOBAL COLON,-96.1066787194
CATEMACO SIN NUMERO FRACCIONAMIENTO TAMPIQUERA,"AGUA, LUZ, TELEFONO, BAÑO",6.0,25.0,BOCA DEL RIO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,BOCA DEL RIO,19.1108259233,ENRIQUE LAUBSCHER,-96.1104640628
PROFESOR GRACIANO SANCHEZ ROMO,"AGUA, LUZ, TELEFONO, BAÑO",6.0,25.0,BOCA DEL RIO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,BOCA DEL RIO,19.1391953372,PROFESOR GRACIANO SANCHEZ ROMO,-96.1216579466
AVENIDA 5 ENTRE CALLE 2 Y 6 COLONIA VENUSTIANO CARRANZA,"AGUA, LUZ, TELEFONO, BAÑO",6.0,25.0,BOCA DEL RIO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,BOCA DEL RIO,19.1280242249,ESCUELA SECUNDARIA GENERAL NUM. 4,-96.1265527501
CALLE 27 SIN NUMERO COLONIA VIRGINIA CORDERO DE MURILLO VIDAL,"AGUA, LUZ, TELEFONO, BAÑO",6.0,25.0,BOCA DEL RIO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,BOCA DEL RIO,19.1486657967,JORGE PASQUEL CASA NUEVA,-96.1169779601
CALLE 21 SIN NUMERO COLONIA MANUEL NIETO LANDERO,"AGUA, LUZ, TELEFONO, BAÑO",6.0,25.0,BOCA DEL RIO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,BOCA DEL RIO,19.1479790127,MARIANO ABASOLO,-96.1196417273
JARDIN SIN NUMERO ESQUINA 2 DE ABRIL FRACCIONAMIENTO VIRGINIA,"AGUA, LUZ, TELEFONO, BAÑO",6.0,25.0,BOCA DEL RIO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,BOCA DEL RIO,19.1636681818,ESCUELA SECUNDARIA GENERAL JOSE AZUETA,-96.1285065997
PASEO DE LAS FLORES ESQUINA ANTON DE ALAMINOS DEL FRAC VIRGINIA,SIN DATO,63.0,250.0,BOCA DEL RIO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SIN DATO,BOCA DEL RIO,19.1633529494,INSTITUTO VERACRUZANO DEL DEPORTE,-96.1214980628
J.M. CARLON NUMERO 406 ENTRE MOISES SAENZ Y 24 DE FEBRERO DE LA COLONIA EJIDO PRIMERO DE MAYO,"AGUA, LUZ, TELEFONO, BAÑO",6.0,25.0,BOCA DEL RIO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,BOCA DEL RIO,19.1448215703,ESCUELA SECUNDARIA GENERAL LAZARO CARDENAS,-96.1236936061
BOULEVARD ADOLFO RUIZ CORTINEZ NUMERO 3497 COLONIA YLANG YLANG,"AGUA, LUZ, TELEFONO, BAÑO",250.0,1000.0,BOCA DEL RIO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,CENTRO DE NEGOCIOS,BOCA DEL RIO,19.1370061949,WORLD TRADE CENTER,-96.1051850066
CUARTEL REGIONAL BOTICARIA,"AGUA, LUZ, TELEFONO, BAÑO",625.0,2500.0,BOCA DEL RIO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SIN DATO,BOCA DEL RIO,19.1426930993,SEDENA,-96.1360535095
CONOCIDO,"AGUA, LUZ, SANITARIOS",18.0,70.0,COTAXTLA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,LA CAPILLA,18.8943551539,SALON SOCIAL,-96.2410795604
CONOCIDO,"AGUA, LUZ, SANITARIOS",25.0,100.0,COTAXTLA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,TINAJAS,18.7605275098,SALON SOCIAL,-96.460643409
CONOCIDO,"AGUA, LUZ, SANITARIOS",12.0,50.0,COTAXTLA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,GUACAMAYA,18.8594391987,SALON SOCIAL,-96.3738047008
CONOCIDO,"AGUA, LUZ, SANITARIOS",50.0,200.0,COTAXTLA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,COTAXTLA,18.8365588574,ESCUELA TE NUMERO 100,-96.3970094174
CONOCIDO,"AGUA, LUZ, SANITARIOS",25.0,100.0,COTAXTLA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,COTAXTLA,18.8364252744,SALON SOCIAL,-96.397186661
CALLE ADALBERTO TEJEDA ESQUINA BENITO JUAREZ,"AGUA, LUZ, SANITARIOS",100.0,400.0,URSULO GALVAN,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,REAL DEL ORO,0.0,CASA DEL CAMPESINO REAL DEL ORO,0.0
CARRETERA ZAPOTITO- LA GLORIA,"AGUA, LUZ, SANITARIOS",100.0,400.0,URSULO GALVAN,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,URSULO GALVAN,0.0,CASA DEL CAMPESINO EL ZAPOTITOCASA DEL CAMPESINO EL ZAPOTITO,0.0
CALLE 16 DE SEPTIEMBRE FRENTE AL PALACIO MUNICIPAL,"AGUA, LUZ, SANITARIOS",100.0,400.0,URSULO GALVAN,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,URSULO GALVAN,0.0,CASA DEL CAMPESINO DE URSULO GALVAN,0.0
CUAUHTEMOC SUR ENTRE BENITO JUAREZ Y LIBERTAD,"AGUA, LUZ, SANITARIOS",200.0,800.0,URSULO GALVAN,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,URSULO GALVAN,0.0,CASA DEL CAMPESINO DE ZEMPOALA,0.0
AVENIDA CESAR USCANGA NUMERO 668,"AGUA, LUZ, SANITARIOS",150.0,600.0,IGNACIO DE LA LLAVE,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,IGNACIO DE LA LLAVE,0.0,SALON SOCIAL,0.0
BENITO JUAREZ ESQUINA ALDAMA,"AGUA, LUZ, SANITARIOS",75.0,300.0,IGNACIO DE LA LLAVE,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,IGNACIO DE LA LLAVE,0.0,CASA EJIDAL,0.0
CONOCIDO,"AGUA, LUZ, SANITARIOS",15.0,60.0,IGNACIO DE LA LLAVE,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,CANDADILLO,0.0,CASA EJIDAL,0.0
CONOCIDO,"AGUA, LUZ, SANITARIOS",15.0,60.0,IGNACIO DE LA LLAVE,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,OBISPO,0.0,ESCUELA,0.0
CONOCIDO,"AGUA, LUZ, SANITARIOS",15.0,60.0,IGNACIO DE LA LLAVE,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,CERRO DE LA PALMA,0.0,CASA EJIDAL,0.0
CONOCIDO,"AGUA, LUZ, SANITARIOS",15.0,60.0,IGNACIO DE LA LLAVE,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,PALMA DE COCO,0.0,CASA EJIDAL,0.0
CONOCIDO,"AGUA, LUZ, SANITARIOS",15.0,60.0,IGNACIO DE LA LLAVE,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,LOBATO Y TOTULCO,0.0,CASA EJIDAL,0.0
CALLE VENUSTIANO CARRANZA SIN NUMERO,"AGUA, LUZ, SANITARIOS",17.0,70.0,JAMAPA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,IGLESIA,JAMAPA,19.041111,IGLESIA ADVENTISTA DEL 7° DIA,-96.241112
CALLE VENUSTIANO CARRANZA SIN NUMERO,"AGUA, LUZ, SANITARIOS",12.0,50.0,JAMAPA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,IGLESIA,JAMAPA,19.041112,IGLESIA CATOLICA,-96.241112
CALLE CARRETERA PRINCIPAL SIN NUMERO,"AGUA, LUZ, SANITARIOS",20.0,80.0,JAMAPA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,JAMAPA,19.041113,ESCUELAPRIMARIAGENERALLAZARO CARDENAS DEL RIO,-96.241112
DOMICILIO CONOCIDO EL RINCON (REFERENCIA FRENTE A CAMPO DEPORTIVO),"AGUA, LUZ, SANITARIOS",75.0,300.0,JAMAPA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,JAMAPA,19.041113,CASA PARTICULAR,-96.241112
CONOCIDO,"AGUA, LUZ, SANITARIOS",123.0,490.0,JAMAPA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,EL ZACATAL,18.94961,SALON SOCIAL,-96.286991
CONOCIDO,"AGUA, LUZ, SANITARIOS",72.0,289.0,JAMAPA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,IGLESIA,JAMAPA,19.037946,ESCUELA PRIMARIA VICENTE GUERRERO,-96.234398
CONOCIDO,"AGUA, LUZ, SANITARIOS",38.0,150.0,JAMAPA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,LA CAMPANA,18.99713,CASA EJIDAL,-96.245084
AVENIDA PRINCIPAL SIN NUMERO.,"AGUA, LUZ, SANITARIOS",133.0,530.0,JAMAPA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,LA MATAMBA,19.021284,ESCUELA PRIMARIA JOSE UTRERA,-96.301585
AVENIDA JOSE UTRERA SIN NUMERO,"AGUA, LUZ, SANITARIOS",25.0,100.0,JAMAPA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,EL PIÑONAL,19.017744,CASA EJIDAL,-96.298148
CONOCIDO,"AGUA, LUZ, SANITARIOS",53.0,210.0,JAMAPA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,IGLESIA,LA JAVILLA,19.045061,IGLESIA CATOLICA LA GUADALUPANA,-96.258381
AVENIDA VERACRUZ SIN NUMERO. ESQUINA  AVENIDA JAMAPA ORIENTE,"AGUA, LUZ, SANITARIOS",213.0,850.0,JAMAPA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,IGLESIA,JAMAPA,19.041289,IGLESIA CATOLICA LA PURISAMA CONCEPCION,-96.241135
"AVENIDA ORIENTE 3, ESQUINA CALLE SUR 3","AGUA, LUZ, SANITARIOS",183.0,730.0,JAMAPA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,IGLESIA,JAMAPA,19.040283,TEMPLO EVANGELICO GETSAMANI,-96.239116
CONOCIDO,"AGUA, LUZ, SANITARIOS",80.0,320.0,JAMAPA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,LA BRECHA,19.055739,ESCUELA PRIMARIA JOSEMARIA M. Y PAVON,-96.274464
AVENIDA LAZARO CARDENAS  SIN NUMERO,"AGUA, LUZ, SANITARIOS",78.0,310.0,JAMAPA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,PASO DE LA CRUZ,19.031814,ESCUELA PRIMARIA LAZARO CARDENAS,-96.283981
CONOCIDO,"AGUA, LUZ, SANITARIOS",38.0,150.0,JAMAPA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,EL APACHITAL,18.945887,ESCUELA PRIMARIA ENRRIQUE  RECSAMEN,-96.2747
CONOCIDO,"AGUA, LUZ, SANITARIOS",45.0,180.0,JAMAPA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,EL MANILA,18.982547,ESCUELA PRIMARIA ADOLFO L. MATEOS,-96.277256
CONOCIDO,"AGUA, LUZ, SANITARIOS",35.0,140.0,JAMAPA,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,EL JILGUERO,19.01288,CASA EJIDAL,-96.274341
CALLE VENUSTIANO CARRANZA NUMERO 40 COLONIA CENTRO,"AGUA, LUZ, SANITARIOS",200.0,800.0,LA ANTIGUA,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,CARDEL,19.371855,SALON CNPR,-96.37913
KM 1 CARRETERA CARDEL GALVAN,"AGUA, LUZ, SANITARIOS",250.0,1000.0,LA ANTIGUA,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,CARDEL,19.3814216,SECUNDARIA TECNICA NUMERO 79,-96.36908
CALLE JOSE CARDEL NORTE NUMERO 27 COLONIA CENTRO,"AGUA, LUZ, SANITARIOS",250.0,1000.0,LA ANTIGUA,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,CARDEL,19.37541,ESCUELA PRIMARIA JUAN DE LA LUZ ENRIQUEZ,-96.377115
AVENIDA CHE RAMIREZ ESQUINA DIEGO DE ORDAZ COLONIA EJIDAL,"AGUA, LUZ, SANITARIOS",75.0,300.0,LA ANTIGUA,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,CARDEL,19.36712,TELESECUNDARIA LAZARO CARDENAS DEL RIO,-96.3669116
AVENIDA EMILIANO ZAPATA ESQUINA 21 DE ABRIL COLONIA CENTRO,"AGUA, LUZ, SANITARIOS",187.0,750.0,LA ANTIGUA,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,CARDEL,19.374145,SECUNDARIA ARMANDO CARDEL AGUILAR,-96.374146
CALLE JAZMIN SIN NUMERO COLONIA VICENTE LOPEZ,"AGUA, LUZ, SANITARIOS",100.0,400.0,LA ANTIGUA,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,CARDEL,19.36051,ESCUELAPRIMARIA ENRIQUE  REBSAMEN,-96.36736
CALLE JAZMIN SIN NUMERO COLONIA VICENTE LOPEZ,"AGUA, LUZ, SANITARIOS",25.0,100.0,LA ANTIGUA,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,CARDEL,19.36025,PREPARATORIA AGUSTIN YAÑEZ,-96.35645
AVENIDA FLORES MAGON SIN NUMERO,"AGUA, LUZ, SANITARIOS",100.0,400.0,LA ANTIGUA,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,CARDEL,19.373623,SALON SECCION 19 EL MODELO,-96.376103
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",50.0,200.0,LA ANTIGUA,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,EL HATILLO,19.27305,ESCUELA PRIMARIA GONZALO VAZQUEZ VELA EL HATILLO,-96.3177016
AVENIDA BARTOLO GONZALEZ SIN NUMERO COLONIA YUCATAN,"AGUA, LUZ, SANITARIOS",60.0,240.0,LA ANTIGUA,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,SALMORAL,19.3423,TELEBACHILLERATO EL SALMORAL,-96.36029
AVENIDA URSULO GALVAN NUMERO 52,"AGUA, LUZ, SANITARIOS",97.0,350.0,LA ANTIGUA,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,SALMORAL,19.342763,ESCUELA PRIMARIA JOSECARDEL,-96.35239
AVENIDA URSULO GALVAN NUMERO 80,"AGUA, LUZ, SANITARIOS",87.0,350.0,LA ANTIGUA,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,SALMORAL,19.3425,TELESECUNDARIA SALVADOR GONZALEZ LAGUNES,-96.35007
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",200.0,800.0,LA ANTIGUA,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,SALMORAL,19.342125,SALON SOCIAL SALMORAL,-96.35482
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",87.0,350.0,LA ANTIGUA,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,SALMORAL,19.343351,SALON DE USOS MULTIPLES DE LA IGLESIA SAGRADO CORAZON DE JESUS,-96.3557
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",22.0,25.0,LA ANTIGUA,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,LOMA IGUANA,19.2391,ESCUELA PRIMARIA MARCO ANTONIO MUÑOS,-96.320823
CONOCIDO,"AGUA, LUZ, SANITARIOS",35.0,150.0,LA ANTIGUA,LA ANTIGUA,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SIN DATO,LOMA IGUANA,19.2386,CASA DEL CAMPESINO LOMA IGUANA,-96.320823
COLONIA CENTRO,SIN DATO,85.0,350.0,MANLIO FABIO ALTAMIRANO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,MANLIO FABIO ALTAMIRANO,19.09395,AUDITORIO MUNICIPAL,-96.33304
COLONIA CENTRO,SIN DATO,42.0,150.0,MANLIO FABIO ALTAMIRANO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SIN DATO,MANLIO FABIO ALTAMIRANO,19.09428,ASOCIACION GANADERA,-96.3328
COLONIA CENTRO,"AGUA, LUZ, BAÑOS",25.0,100.0,MANLIO FABIO ALTAMIRANO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SIN DATO,MANLIO FABIO ALTAMIRANO,19.09413,CASA DEL CAMPESINO,-96.33274
COLONIA CENTRO,"AGUA, LUZ, BAÑOS",15.0,60.0,MANLIO FABIO ALTAMIRANO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON SOCIAL,PASO SOLIS,19.05359,PASO SOLIS,-96.32294
COLONIA CENTRO,"AGUA, LUZ, BAÑOS",12.0,50.0,MANLIO FABIO ALTAMIRANO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON DE USOS MULTIPLES,FELIPE CARRILLO PUERTO,19.07507,CARRILLO Y LA VENTA,-96.30715
COLONIA CENTRO,"AGUA, LUZ, BAÑOS",12.0,50.0,MANLIO FABIO ALTAMIRANO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,CASA DEL CAMPESINO,SAN CENOBIO,19.04152,SAN CENOVIO,-96.39022
COLONIA CENTRO,"AGUA, LUZ, BAÑOS",12.0,50.0,MANLIO FABIO ALTAMIRANO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON SOCIAL,EL BUZON,19.15723,EL BUZON,-96.35169
COLONIA CENTRO,"AGUA, LUZ, BAÑOS",5.0,20.0,MANLIO FABIO ALTAMIRANO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,ESCUELA,MANLIO FABIO ALTAMIRANO,19.09377,ESCUELA JUSTO SIERRA,-96.33183
COLONIA CENTRO,"AGUA, LUZ, BAÑOS",5.0,20.0,MANLIO FABIO ALTAMIRANO,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,CAMPO DEPORTIVO,MANLIO FABIO ALTAMIRANO,19.05359,CAMPO DEPORTIVO,-96.32294
CONOCIDO,"AGUA, LUZ, SANITARIOS",63.0,250.0,MEDELLIN,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,LA LAGUNA,18.98472,CASA EJIDA,-96.078253
CONOCIDO,"AGUA, LUZ, SANITARIOS",113.0,450.0,MEDELLIN,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,EL TEJAR,19.07309,SALON SOCIAL,-96.161399
CONOCIDO,"AGUA, LUZ, SANITARIOS",46.0,185.0,MEDELLIN,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,JULIAN FLORES CABRERA,SALON,MOZAMBIQUE,19.05918,SALON SOCIAL,-96.253817
